"ООО ""ИЛТ""","625022, Тюменская обл, Тюмень г, Солнечный проезд, ДОМ 21, ОФИС 309",ilt.i@inbox.ru,83452615192,Кияшкин Виктор Эдуардович,"Выполнение работ и (или) оказание услуг по оценке технического состояния,  разработке проектной документации на проведение капитального ремонта общего имущества многоквартирных домов, в том числе по ремонту (замене, модернизации) лифтов"
"ООО ""ИЛТ""","625022, Российская Федерация, Тюменская область, г. Тюмень, проезд Солнечный, д. 21, офис 309",ilt.i@inbox.ru,73452615192,КИЯШКИН ВИКТОР ЭДУАРДОВИЧ,"Выполнение работ и (или) оказание услуг по оценке технического состояния,  разработке проектной документации на проведение капитального ремонта общего имущества многоквартирных домов, в том числе по ремонту (замене, модернизации) лифтов"
"ООО ""ИЛТ""","625022, Российская Федерация, Тюменская область, г. Тюмень, проезд Солнечный, д. 21, офис 309",ilt.i@inbox.ru,73452615192,КИЯШКИН ВИКТОР ЭДУАРДОВИЧ,"Выполнение работ и (или) оказание услуг по оценке технического состояния,  разработке проектной документации на проведение капитального ремонта общего имущества многоквартирных домов, в том числе по ремонту (замене, модернизации) лифтов"
"ООО ""ИЛТ""","625022, Российская Федерация, ТЮМЕНСКАЯ, ТЮМЕНЬ, СОЛНЕЧНЫЙ, ДОМ 21, ОФИС 309",tender@import-lift.ru,73452615192,КИЯШКИН ВИКТОР ЭДУАРДОВИЧ,Оказание услуг и (или) выполнение работ по капитальному ремонту общего имущества многоквартирных домов
"ООО ""ИЛТ""","625022, Российская Федерация, Тюменская обл., г. Тюмень, проезд Солнечный, д.21,офис 309",ilt.i@inbox.ru,83452615192,Кияшкин Виктор Эдуардович,"Выполнение работ и (или) оказание услуг по ремонту, замене, модернизации лифтов, ремонту лифтовых шахт, машинных и блочных помещений  (ремонт (замена, модернизация) лифтов)"
"ООО ""ИЛТ""","625022, ОБЛ ТЮМЕНСКАЯ, Г ТЮМЕНЬ, ПРОЕЗД СОЛНЕЧНЫЙ, ДОМ 21, ОФИС 309",ilt.i@inbox.ru,73452615192,Кияшкин Виктор Эдуардович,Оказание услуг и (или) выполнение работ по капитальному ремонту общего имущества многоквартирных домов
"ООО ""ИЛТ""","625022, Тюменская область, г.Тюмень, проезд Солнечный, д. 21, оф. 309",itl.i@inbox.ru,73452615192,Кияшкин Виктор Эдуардович,"Выполнение работ и (или) оказание услуг по ремонту, замене, модернизации лифтов, ремонту лифтовых шахт, машинных и блочных помещений  (ремонт (замена, модернизация) лифтов)"
"ООО ""ИЛТ""","625022, ОБЛ ТЮМЕНСКАЯ, Г ТЮМЕНЬ, ПРОЕЗД СОЛНЕЧНЫЙ, ДОМ 21, ОФИС 309",ilt.i@inbox.ru,73452615192,Кияшкин Виктор Эдуардович,"Выполнение работ и (или) оказание услуг по ремонту, замене, модернизации лифтов, ремонту лифтовых шахт, машинных и блочных помещений  (ремонт (замена, модернизация) лифтов)"
"ООО ""ИЛТ""","625022, Тюменская область, г.Тюмень, проезд Солнечный, д. 21, оф. 309",itl.i@inbox.ru,73452615192,Кияшкин Виктор Эдуардович,Оказание услуг и (или) выполнение работ по капитальному ремонту общего имущества многоквартирных домов
,"Российская Федерация, -, 119571, Г МОСКВА, ПР-КТ ЛЕНИНСКИЙ, ДОМ 154, ОФИС 2",sous2020@yandex.ru,79687645445,Осипова Людмила Игоревна,Оказание услуг и (или) выполнение работ по капитальному ремонту общего имущества многоквартирных домов
"ООО ""БР ТРЕЙД СОЮЗ""","Российская Федерация, -, 141401, Московская область, г. Химки, улица Рабочая, дом 2А, строение 31, эт/пом 1/20",brtradesouz@yandex.ru,79652567780,Бороздин Алексей Сергеевич,Оказание услуг и (или) выполнение работ по капитальному ремонту общего имущества многоквартирных домов
"ООО ""ПОКРОВ - ГАРАНТ""","617060, Российская Федерация, ПЕРМСКИЙ, КРАСНОКАМСК, ТРУБНАЯ, 4",pokrov-garant@yandex.ru,79128822777,ЧЕРЕМНЫХ АЛЕКСАНДР ВАЛЕНТИНОВИЧ,Оказание услуг и (или) выполнение работ по капитальному ремонту общего имущества многоквартирных домов
"ООО ""ФЕРРУМ-СТРОЙ""","614094, Российская Федерация, ПЕРМСКИЙ, ПЕРМЬ, ВИЛЬВЕНСКАЯ, ДОМ 2, КВАРТИРА 79",arapov-ia@ya.ru,79197003837,АРАПОВ ИГОРЬ АЛЕКСЕЕВИЧ,Оказание услуг и (или) выполнение работ по капитальному ремонту общего имущества многоквартирных домов
"ООО  ""ОСНОВА-ПЛЮС""","614017, Российская Федерация, ПЕРМСКИЙ, ПЕРМЬ, ХАЛТУРИНА, 8А",sobolevsb@mail.ru,79129812537,Соболев Сергей Борисович,Оказание услуг и (или) выполнение работ по капитальному ремонту общего имущества многоквартирных домов
ООО «СК «РУБЕЖ»,"440028, Российская Федерация, Пензенская обл., г. Пенза, проезд Германа Титова, ДОМ 3А, ЭТАЖ 2, ПОМ. 6",sssn2020@mail.ru,+7(8412)237097,СЕРГЕЕВ СЕРГЕЙ НИКОЛАЕВИЧ,Оказание услуг и (или) выполнение работ по капитальному ремонту общего имущества многоквартирных домов
"ООО ""ПИК""","614113, Российская Федерация, ПЕРМСКИЙ, ПЕРМЬ, АДМИРАЛА НАХИМОВА, 4,Б",2502085@list.ru,73422502085,ПАЛЬЯНОВ ИЛЬЯ НИКОЛАЕВИЧ,Оказание услуг и (или) выполнение работ по капитальному ремонту общего имущества многоквартирных домов
"ООО ""СТРОЙТЕХНОЛОГИИ""","614000, Российская Федерация, ПЕРМСКИЙ, ПЕРМЬ, СОВЕТСКАЯ, ДОМ 104, ОФИС 607",stroytech_2016@mail.ru,79194817704,ЗЕЛЕНИН ВЯЧЕСЛАВ ВЛАДИМИРОВИЧ,Оказание услуг и (или) выполнение работ по капитальному ремонту общего имущества многоквартирных домов
"ООО ""СК ""ФОРТ-ИНВЕСТ""","196105, Российская Федерация, САНКТ-ПЕТЕРБУРГ, ЯКОВЛЕВСКИЙ, ДОМ 4,ЛИТЕР А, ПОМЕЩЕНИЕ 2Н ОФИС 2",fort-invest2020@yandex.ru,70000000000,НИКОЛАЕВ АЛЕКСЕЙ ЛЕОНИДОВИЧ,Оказание услуг и (или) выполнение работ по капитальному ремонту общего имущества многоквартирных домов
"ООО ""ТЕЛЕКОМСТРОЙПРОЕКТ +""","644123, Российская Федерация, ОМСКАЯ, ОМСК, КОНЕВА, ДОМ 14, ПОМЕЩЕНИЕ 6",oootsp55@gmail.com,73812000000,КУЗЛЯКИН АЛЕКСЕЙ ВАСИЛЬЕВИЧ,Оказание услуг и (или) выполнение работ по капитальному ремонту общего имущества многоквартирных домов
"ООО ПСК ""ЛЕГИОН""","150006, Российская Федерация, ЯРОСЛАВСКАЯ, ЯРОСЛАВЛЬ, ФРУНЗЕ, ДОМ 29, КВАРТИРА 1",psklegion@mail.ru,79605360797,ПОГОСЯН АРАРАТ АЛЬБЕРТОВИЧ,"Оказание услуг и (или) выполнение работ по капитальному ремонту общего имущества многоквартирных домов, являющихся объектами культурного наследия, выявленными объектами культурного наследия"
"ООО ""ПКФ СИБЛИФТ""","644027, Российская Федерация, ОМСКАЯ, ОМСК, ИНДУСТРИАЛЬНАЯ, ДОМ 11",lift@siblift.com,79165879620,ШАБРОВ СЕРГЕЙ ЮРЬЕВИЧ,"Выполнение работ и (или) оказание услуг по ремонту, замене, модернизации лифтов, ремонту лифтовых шахт, машинных и блочных помещений  (ремонт (замена, модернизация) лифтов)"
"ООО ""АСК""","101000, Российская Федерация, МОСКВА, ПОКРОВКА, Д. 33, ОФИС 307",serezha.borisov.1975@list.ru,74997068986,БОРИСОВ СЕРГЕЙ АЛЕКСАНДРОВИЧ,"Выполнение работ и (или) оказание услуг по ремонту, замене, модернизации лифтов, ремонту лифтовых шахт, машинных и блочных помещений  (ремонт (замена, модернизация) лифтов)"
"ООО ""БЕЛУР""","454006, Российская Федерация, ЧЕЛЯБИНСКАЯ, ЧЕЛЯБИНСК, РОССИЙСКАЯ, ДОМ 75, ПОМЕЩЕНИЕ 10",info@belur.ooo,73517761001,ГОРБУНОВ МИХАИЛ ВЛАДИМИРОВИЧ,"Выполнение работ и (или) оказание услуг по ремонту, замене, модернизации лифтов, ремонту лифтовых шахт, машинных и блочных помещений  (ремонт (замена, модернизация) лифтов)"
